workorderno,Wo_Count
84279511,9
84389300,25
84456350,30
84456361,30
84819394,1000
84947013,30
84990118,8
85014104,2
85033817,30
85033818,30
85034196,30
85046346,49
85056820,54
85070747,5
85091936,72
85096456,30
85109007,20
85111027,1
85111312,30
85120381,1
85126213,10
85127380,25
85131509,669
85141211,1
85141212,1
85149648,5
85149650,2
85149651,20
85149652,10
85149654,10
85152146,15
85154138,1
85154416,2
85157802,8
85161186,10
85170294,10
85170459,10
85172963,25
85176194,200
85178795,200
85180818,1
85182133,1
85184838,10
85188788,100
85197243,1
85212074,70
85212091,40
85212184,3
85212212,40
85213202,2
85214081,1
85222324,319
85222375,1
85222694,250
85222695,244
85230678,3
85234730,2
85235783,17
85237137,2
85237138,2
85240225,1
85240724,1
85243198,3
85243241,3
85243802,10
85243897,10
85244731,5
85245071,20
85245646,5
85247233,40
85247392,1
85248406,10
85250068,4
85256621,1
85259710,10
85259730,5
85259731,10
85259732,10
85261998,1
85263187,4
85263297,10
85263927,1
85263981,2
85264133,1
85265292,11
85265294,12
85266208,2
85266209,5
85266354,4
85266934,20
85267000,15
85267101,15
85267102,15
85267103,15
85267104,20
85267129,30
85267130,40
85267131,10
85267132,13
85267133,13
85267134,5
85267135,6
85267136,36
85268355,30
85269384,1
85269397,1
85270381,7
85271586,3
85273362,2
85273363,2
85273524,20
85277322,13
85277326,2
85280121,10
85280122,10
85280125,10
85280817,3
85283881,10
85283885,1
85283919,24
85283920,24
85284026,1
85284180,1
85284782,35
85285248,32
85285674,2
85286216,8
85286468,40
85286816,1
85286819,1
85287384,1
85288338,3
85289330,4
85291109,300
85291194,10
85291314,1
85291609,7
85291708,2
85291792,10
85291793,8
85291812,3
85292231,2
85292234,3
85292238,1
85292258,1
85294356,14
85294709,1
85294977,10
85294978,4
85295382,1
85295760,1
85295966,5
85296096,5
85296097,3
85296098,5
85296118,19
85296336,10
85296337,3
85296371,1
85297151,1
85297173,1
85297334,23
85297730,2
85297941,3
85300514,5
85300726,5
85301208,6
85301214,5
85301447,1
85302056,3
85302591,3
85302592,1
85303334,1
85303664,1
85304129,10
85304132,1
85304560,10
85305354,5
85305415,1
85305416,20
85305424,1
85305440,1
85305449,50
85305457,20
85305616,1
85305752,8
85305753,2
85306104,100
85306651,400
85306693,1
85306702,5
85306736,1
85306743,13
85306744,1
85307391,40
85307651,2
85307766,1
85308633,1
85310038,1
85310040,1
85310616,6
85311224,10
85311225,25
85311247,1
85311248,1
85311300,5
85311485,1
85311871,1
85312544,1
85312632,1
85312766,1
85313024,1
85313025,4
85313026,4
85313609,1
85314919,1
85315143,4
85315223,1
85315931,5
85316407,1
85317232,1
85317707,1
85317821,1
85317822,1
85317826,1
85317841,200
85317848,5
85317852,4
85317853,2
85317854,1
85317855,1
85317856,1
85317857,5
85317859,1
85317862,10
85318084,3
85318085,6
85319004,1
85319363,1
85319456,1
85319672,1
85319841,1
85319876,1
85319931,4
85319971,1
85320272,50
85320295,5
85321112,4
85321184,20
85321476,10
85321583,4
85321585,3
85321586,5
85321589,5
85321604,1
85321637,30
85321688,20
85321764,1
85321774,1
85321799,5
85321809,1
85321812,10
85321816,1
85321817,1
85321821,4
85321824,2
85321828,1
85321998,1
85321999,1
85322062,3
85322118,1
85322379,6
85322390,1
85322400,10
85322401,2
85322706,10
85322731,5
85322732,11
85322733,5
85322748,1
85322749,1
85322750,1
85322751,1
85322752,1
85322784,1
85323226,1
85323667,4
85323684,1
85324093,10
85324123,1
85324362,5
85325256,6
85325258,7
85325259,1
85325344,1
85325803,3
85325887,10
85325989,2
85326033,5
85326322,5
85326417,3
85326418,1
85326426,3
85326428,1
85326446,10
85326540,20
85326588,30
85326709,10
85326813,10
85326814,10
85326817,50
85326829,1
85327077,5
85327367,28
85327374,40
85327385,2
85327386,5
85327387,15
85327395,20
85327399,1
85327403,1
85327404,1
85327405,1
85327859,30
85327860,1
85327862,1
85327880,1
85327889,3
85327890,1
85328072,1
85328074,1
85328162,2
85328276,1
85328278,2
85328279,1
85328280,1
85328281,1
85328396,6
85328522,2
85328873,42
85328875,1
85328976,5
85328977,1
85329029,2
85329091,1
85329096,3
85329100,1
85329103,3
85329113,24
85329462,2
85329464,1
85329470,2
85329507,1
85329615,15
85329616,20
85329618,15
85329892,2
85329993,10
85329994,10
85330024,1
85330305,5
85330307,1
85330310,1
85330314,2
85330324,1
85330325,2
85330976,1
85331520,1
85331569,1
85331638,1
85332024,1
85332028,1
85332039,6
85332437,5
85332637,3
85332707,7
85333086,2
85333087,3
85333156,5
85333162,1
85333170,1
85333171,1
85333225,1
85333227,1
85333235,1
85333237,2
85333242,5
85333626,1
85333628,4
85333629,4
85333815,15
85333902,10
85333908,1
85333917,1
85333926,2
85333932,30
85334023,1
85334072,2
85334705,2
85336322,1
85336326,1
85336327,1
85336352,1
85336370,1
85336377,1
85336378,5
85336379,2
85336380,1
85336381,1
85336382,10
85336383,1
85336385,1
85336386,1
85336388,2
85336389,1
85336391,1
85336393,1
85336398,6
85336400,1
85336404,1
85336405,1
85336406,5
85336407,1
85336408,1
85336409,1
85336410,2
85336411,1
85336412,1
85336413,1
85336414,1
85336415,1
85336443,1
85336444,1
85336445,1
85336446,1
85336447,2
85336448,1
85336449,3
85336450,5
85336451,1
85336453,4
85336461,1
85336462,2
85336463,2
85336464,5
85336741,33
85336742,60
85336877,1
85337072,1
85337085,9
85337087,5
85337091,1
85337355,5
85337356,2
85337757,2
85337759,1
85337760,1
85337761,1
85337763,1
85337781,1
85337782,2
85337783,3
85337784,1
85337785,50
85337955,2
85337956,4
85337957,3
85337958,18
85338171,18
85338212,35
85338220,3
85338221,1
85338346,4
85338347,1
85338348,1
85338349,1
85338549,5
85338593,4
85338594,6
85338595,1
85338660,1
85338661,10
85338807,5
85338823,6
85338839,8
85338994,1
85338995,1
85338999,2
85339000,4
85339001,15
85339002,2
85339310,30
85339492,1
85339495,30
85339496,1
85339531,5
85339532,2
85339533,3
85339560,2
85339643,5
85339644,10
85339645,4
85339646,3
85339670,1
85339855,5
85339857,1
85339877,10
85340013,3
85340014,3
85340015,1
85340016,5
85340018,5
85340019,13
85340020,10
85340021,2
85340089,10
85340118,3
85340119,8
85340135,4
85340192,2
85340196,1
85340227,4
85340231,13
85340235,1
85340236,5
85340238,1
85340239,1
85340240,2
85340241,30
85340242,1
85340243,4
85340244,8
85340247,1
85340248,1
85340249,1
85340250,1
85340695,3
85340697,1
85340698,1
85340699,6
85341418,1
85341419,20
85342788,80
85342796,1
85343124,1
85343125,1
85343600,1
85343930,1
85344457,2
85345227,1
85345445,2
85345446,1
85345447,1
85345975,4
85346411,1
85346931,1
85346936,50
85347090,1
85347091,1
85347092,4
85347160,3
85347324,1
85347445,1
85347447,1
85347466,1
85347807,1
85347808,1
85347809,7
85347810,2
85347812,1
85347813,2
85347849,6
85348168,1
85348169,3
85348188,3
85348206,10
85348207,1
85348208,1
85348210,7
85348211,24
85348212,1
85348213,14
85348215,2
85348217,2
85348218,18
85348219,1
85348220,2
85348221,2
85348299,60
85348308,3
85348323,5
85348330,2
85348331,3
85348332,5
85348367,3
85348368,2
85348523,2
85348524,4
85348534,2
85348537,27
85348538,1
85348540,128
85348612,6
85348613,3
85348655,1
85348656,1
85348657,3
85348658,1
85348659,1
85348660,16
85348661,1
85348663,1
85348665,2
85348667,5
85348668,8
85348672,1
85348696,2
85348703,1
85348704,1
85348708,1
85348716,15
85348721,1
85348723,1
85348725,2
85348749,2
85348769,3
85348774,2
85348779,6
85348792,1
85348793,10
85348794,25
85348795,3
85348796,2
85348797,1
85348798,1
85348800,1
85348801,4
85348802,2
85348804,2
85348811,1
85348812,2
85348813,9
85348814,7
85348815,1
85348816,3
85348817,1
85348996,1
85348999,1
85349001,6
85349002,1
85349003,1
85349004,1
85349222,15
85349223,20
85349224,5
85349268,2
85349511,47
85349512,10
85349515,2
85349516,3
85349641,2
85349642,2
85349652,1
85349830,1
85349837,1
85349838,10
85349839,1
85349840,3
85349842,8
85349843,9
85349846,1
85349948,1
85349949,2
85349952,1
85350254,1
85350258,12
85350259,1
85350260,9
85350261,33
85350262,1
85350263,2
85350264,10
85350265,1
85350277,5
85350278,2
85350279,1
85350280,10
85350281,1
85350282,1
85350283,4
85350284,1
85350335,1
85350351,1
85350412,1
85350413,1
85350414,2
85350415,1
85350637,8
85350909,5
85350919,2
85350923,1
85350924,1
85350925,1
85351424,1
85351667,1
85351668,1
85351669,1
85351804,63
85351805,20
85351821,1
85352766,3
85352858,1
85352984,7
85352985,4
85353019,1
85353039,20
85353041,2
85353197,50
85353202,3
85353203,35
85353204,1
85353209,9
85353210,1
85353322,10
85353323,7
85353370,2
85353375,3
85353470,2
85353471,8
85353530,2
85353560,6
85353563,3
85353572,5
85353573,1
85353574,1
85353581,3
85353582,1
85353583,1
85353585,1
85353587,2
85353588,1
85353843,1
85353844,2
85353892,5
85353893,5
85353894,1
85353895,2
85353896,5
85353909,30
85354005,10
85354006,10
85354007,1
85354331,1
85354332,2
85354333,1
85354334,2
85354376,2
85354380,1
85354381,1
85354446,3
85354447,12
85354448,20
85354509,1
85354511,1
85354512,3
85354550,31
85354576,1
85354578,1
85354579,2
85354598,1
85354599,1
85354608,1
85354612,1
85354613,2
85354614,10
85354615,3
85354616,1
85354617,1
85354624,1
85354625,5
85354626,1
85354627,1
85354628,9
85354675,5
85354676,7
85354677,15
85354764,6
85354765,15
85354766,10
85354767,20
85354920,10
85354930,36
85354934,10
85354953,7
85355020,10
85355595,3
85355651,10
85355652,10
85355875,10
85355877,30
85355993,5
85356022,1
85356025,3
85356097,12
85356105,3
85356106,20
85356107,1
85356109,1
85356111,1
85356115,13
85356116,1
85356118,1
85356120,2
85356250,3
85356256,1
85356261,1
85356262,3
85356266,10
85356269,3
85356271,1
85356273,1
85356274,45
85356289,1
85356291,1
85356295,10
85356296,1
85356302,30
85356358,25
85356549,5
85356555,1
85356648,10
85356780,8
85357089,1
85357091,1
85357164,1
85357166,1
85357338,1
85357339,1
85357343,2
85357346,1
85357352,2
85357354,1
85357624,5
85358247,1
85358287,6
85359044,1
85359306,9
85359307,5
85359378,68
85359379,1
85359380,1
85359382,1
85359505,7
85359627,5
85359628,20
85359634,1
85359637,1
85359712,1
85359714,1
85359715,1
85359719,1
85359945,5
85360213,1
85360217,3
85360331,3
85360427,34
85360428,6
85360430,1
85360431,51
85360612,12
85360722,1
85360723,1
85360724,1
85360725,16
85360726,1
85360728,1
85360787,1
85360823,1
85360829,2
85360830,1
85360836,1
85360837,1
85360838,1
85360839,2
85360840,20
85360847,1
85360848,13
85360850,13
85360851,5
85361040,1
85361102,5
85361129,10
85361332,1
85361388,2
85361913,10
85361914,3
85361915,9
85361916,1
85362048,3
85362309,5
85362315,1
85362318,1
85362441,4
85362442,1
85362451,4
85362452,1
85362453,10
85362454,1
85362458,1
85362459,1
85362783,2
85362784,2
85362785,2
85362794,1
85362804,1
85362810,1
85362811,5
85362812,11
85362813,2
85362819,2
85362820,1
85362821,1
85362823,1
85362864,10
85362890,20
85362894,1
85362895,10
85362922,5
85362923,29
85362925,1
85363854,3
85363858,1
85363860,1
85363862,2
85363864,1
85363868,5
85363869,30
85363870,2
85363873,1
85364389,1
85364530,1
85364956,1
85364957,1
85364958,1
85364959,1
85364960,1
85365206,1
85365267,2
85365293,2
85365506,2
85365567,1
85365568,10
85365569,1
85365685,1
85365686,1
85365687,1
85366031,26
85366032,1
85366034,20
85366132,5
85366569,12
85366695,10
85366696,7
85366697,7
85366698,3
85366699,20
85366784,5
85366785,2
85366819,1
85367322,1
85367541,1
85367653,1
85368224,4
85368226,7
85368227,7
85368228,5
85368438,2
85368456,1
85368837,18
85368838,2
85369026,2
85369027,2
85369054,1
85369055,2
85369056,1
85369057,1
85369063,1
85369065,1
85369066,1
85369126,3
85369127,5
85369139,1
85369140,2
85369141,8
85369142,1
85369144,1
85369145,5
85369146,1
85369153,1
85369154,1
85369156,3
85369157,1
85369158,2
85369159,1
85369160,3
85369161,1
85369162,1
85369163,1
85369165,1
85369169,1
85369170,10
85369172,1
85369173,20
85369174,1
85369175,3
85369176,1
85369177,1
85369288,1
85369289,1
85369637,1
85369638,4
85369681,1
85369683,208
85369685,1
85369686,16
85369687,2
85369689,1
85369690,1
85369703,2
85369705,1
85369706,10
85369942,2
85370010,1
85370011,1
85370012,1
85370014,1
85370070,3
85370071,1
85370072,1
85370073,1
85370075,1
85370076,1
85370168,1
85370208,1
85370571,1
85370999,15
85371326,10
85371327,1
85371859,1
85371860,1
85371861,1
85371862,1
85371863,1
85371864,1
85371865,1
85371866,8
85371870,1
85371871,2
85371873,1
85371874,1
85371875,1
85371936,1
85372370,1
85372492,1
85372493,2
85372494,1
85372568,2
85372823,1
85372880,1
85372890,3
85373358,1
85373359,7
85373463,1
85373778,1
85373802,2
85373806,1
85373807,1
85373808,1
85373811,1
85373812,7
85373813,2
85373814,1
85373854,1
85373856,1
85373857,5
85373858,2
85373859,2
85373866,1
85373867,1
85373868,9
85373869,1
85373955,1
85374053,1
85374054,6
85374055,2
85374064,1
85374356,1
85374499,2
85375187,40
85375188,5
85375426,5
85375429,60
85375448,1
85375449,1
85375450,1
85375451,1
85375455,3
85375456,1
85375457,1
85375458,1
85375474,4
85375476,1
85375554,7
85375555,30
85375556,10
85376574,40
85376575,3
85376576,1
85376577,1
85376636,1
85376977,40
85377014,1
85377052,1
85377331,2
85377332,1
85377333,1
85377764,1
85378564,31
85378616,1
85378681,20
85378685,20
85379665,27
85380137,21
85380242,1
85380312,10
85380313,10
85380314,50
85380315,2
85380316,2
85380317,2
85380416,50
85380417,60
85380418,10
85380422,1
85380447,1
85380531,5
85380842,1
85380847,1
85380849,1
85380850,2
85380851,1
85380852,2
85380897,1
85380898,1
85380899,1
85380900,5
85380901,6
85380904,3
85380905,3
85380906,3
85380915,3
85380916,3
85380917,5
85380919,10
85380920,3
85380921,2
85380922,6
85380923,1
85380924,1
85380926,6
85381284,2
85381285,1
85381286,1
85381289,1
85381290,1
85381395,1
85381401,1
85381402,1
85381403,2
85381404,3
85381407,1
85381408,1
85381409,1
85381693,7
85381982,25
85381983,5
85381985,1
85381986,1
85381994,1
85381995,1
85382644,136
85382681,2
85382682,1
85382686,1
85382687,1
85382688,1
85382689,1
85382923,2
85382925,1
85382969,10
85382970,2
85382971,5
85382976,6
85382979,1
85383076,1
85383077,1
85383078,4
85383246,1
85383247,1
85383249,1
85383364,1
85383365,1
85383366,1
85383396,2
85383397,8
85383453,1
85383467,10
85383532,1
85383660,2
85383741,3
85383742,1
85383743,4
85383765,32
85383768,1
85383858,100
85383872,11
85383874,2
85383875,3
85383876,7
85383877,1
85383878,1
85383883,1
85383884,3
85383889,1
85384089,8
85384312,8
85384313,1
85384318,1
85385728,15
85385809,2
85385810,1
85385811,1
85385813,1
85386051,1
85386052,5
85386187,2
85386395,5
85386397,20
85386399,20
85386401,15
85386405,2
85386481,3
85386540,12
85386591,4
85386730,1
85386768,4
85386772,3
85386774,2
85386900,1
85386904,5
85387380,10
85387480,2
85387494,50
85387582,1
85387851,1
85387852,1
85387929,1
85388214,1
85388342,9
85388786,3
85388801,1
85388880,1
85388916,1
85389080,1
85389324,2
85389388,3
85389392,1
85389445,1
85389446,49
85389448,3
85389450,2
85389463,1
85389843,25
85389844,5
